packet_no,timestamp,src_ip,dst_ip,src_port,dst_port,transport_proto,tcp_seq,tcp_flags,additional,bytes_transferred
68,1728941763853,192.168.29.130,146.75.29.140,35144,443,TCP,2476112065,A,'',54
69,1728941763854,192.168.29.130,146.75.29.140,35144,443,TCP,2476112065,PA,'',722
70,1728941763854,192.168.29.130,146.75.29.140,35158,443,TCP,1773814709,S,'',74
71,1728941763854,146.75.29.140,192.168.29.130,443,35144,TCP,297227565,A,'',60
72,1728941763855,192.168.29.2,192.168.29.130,53,56794,UDP,N/A,N/A,'',143
73,1728941763855,192.168.29.2,192.168.29.130,53,56794,UDP,N/A,N/A,'',155
74,1728941763855,192.168.29.2,192.168.29.130,53,59749,UDP,N/A,N/A,'',125
75,1728941763855,192.168.29.2,192.168.29.130,53,59749,UDP,N/A,N/A,'',167
76,1728941763855,192.168.29.130,146.75.37.140,54832,443,TCP,3614171997,S,'',74
77,1728941763855,192.168.29.130,146.75.29.140,35174,443,TCP,90822926,S,'',74
78,1728941763866,146.75.29.140,192.168.29.130,443,35158,TCP,1693122564,SA,'',60
79,1728941763866,192.168.29.130,146.75.29.140,35158,443,TCP,1773814710,A,'',54
80,1728941763867,192.168.29.130,146.75.29.140,35158,443,TCP,1773814710,PA,'',723
81,1728941763867,146.75.29.140,192.168.29.130,443,35158,TCP,1693122565,A,'',60
82,1728941763869,146.75.29.140,192.168.29.130,443,35112,TCP,596181959,PA,'',1446
83,1728941763869,192.168.29.130,146.75.29.140,35112,443,TCP,3109775835,A,'',54
84,1728941763869,146.75.29.140,192.168.29.130,443,35112,TCP,596183351,PA,'',2853
85,1728941763869,192.168.29.130,146.75.29.140,35112,443,TCP,3109775835,A,'',54
86,1728941763870,146.75.29.140,192.168.29.130,443,35128,TCP,246824093,PA,'',1446
87,1728941763870,192.168.29.130,146.75.29.140,35128,443,TCP,3223031339,A,'',54
88,1728941763870,146.75.29.140,192.168.29.130,443,35128,TCP,246825485,PA,'',2853
89,1728941763870,192.168.29.130,146.75.29.140,35128,443,TCP,3223031339,A,'',54
90,1728941763873,192.168.29.130,146.75.29.140,35112,443,TCP,3109775835,PA,'',118
91,1728941763873,192.168.29.130,146.75.29.140,35128,443,TCP,3223031339,PA,'',118
92,1728941763873,146.75.29.140,192.168.29.130,443,35112,TCP,596186150,A,'',60
93,1728941763873,146.75.29.140,192.168.29.130,443,35128,TCP,246828284,A,'',60
94,1728941763873,192.168.29.130,146.75.29.140,35112,443,TCP,3109775899,PA,'',224
95,1728941763873,192.168.29.130,146.75.29.140,35128,443,TCP,3223031403,PA,'',224
96,1728941763874,146.75.29.140,192.168.29.130,443,35112,TCP,596186150,A,'',60
97,1728941763874,146.75.29.140,192.168.29.130,443,35128,TCP,246828284,A,'',60
98,1728941763884,146.75.29.140,192.168.29.130,443,35144,TCP,297227565,PA,'',4302
99,1728941763884,146.75.29.140,192.168.29.130,443,35174,TCP,239554861,SA,'',60
100,1728941763884,146.75.37.140,192.168.29.130,443,54832,TCP,95161870,SA,'',60
101,1728941763884,192.168.29.130,146.75.29.140,35144,443,TCP,2476112733,A,'',54
102,1728941763884,192.168.29.130,146.75.29.140,35174,443,TCP,90822927,A,'',54
103,1728941763884,192.168.29.130,146.75.37.140,54832,443,TCP,3614171998,A,'',54
104,1728941763886,192.168.29.130,146.75.29.140,35174,443,TCP,90822927,PA,'',724
105,1728941763886,146.75.29.140,192.168.29.130,443,35174,TCP,239554862,A,'',60
106,1728941763886,192.168.29.130,146.75.37.140,54832,443,TCP,3614171998,PA,'',716
107,1728941763886,146.75.37.140,192.168.29.130,443,54832,TCP,95161871,A,'',60
108,1728941763887,192.168.29.130,146.75.29.140,35144,443,TCP,2476112733,PA,'',118
109,1728941763888,146.75.29.140,192.168.29.130,443,35144,TCP,297231813,A,'',60
110,1728941763888,192.168.29.130,146.75.29.140,35144,443,TCP,2476112797,PA,'',224
111,1728941763888,146.75.29.140,192.168.29.130,443,35144,TCP,297231813,A,'',60
112,1728941763900,146.75.29.140,192.168.29.130,443,35158,TCP,1693122565,PA,'',4315
113,1728941763900,192.168.29.130,146.75.29.140,35158,443,TCP,1773815379,A,'',54
114,1728941763903,192.168.29.130,146.75.29.140,35158,443,TCP,1773815379,PA,'',118
115,1728941763903,146.75.29.140,192.168.29.130,443,35158,TCP,1693126826,A,'',60
116,1728941763903,146.75.29.140,192.168.29.130,443,35174,TCP,239554862,PA,'',4315
117,1728941763903,192.168.29.130,146.75.29.140,35174,443,TCP,90823597,A,'',54
118,1728941763903,192.168.29.130,146.75.29.140,35158,443,TCP,1773815443,PA,'',224
119,1728941763903,146.75.29.140,192.168.29.130,443,35158,TCP,1693126826,A,'',60
120,1728941763905,192.168.29.130,146.75.29.140,35174,443,TCP,90823597,PA,'',118
121,1728941763905,146.75.29.140,192.168.29.130,443,35174,TCP,239559123,A,'',60
122,1728941763905,192.168.29.130,146.75.29.140,35174,443,TCP,90823661,PA,'',224
123,1728941763906,146.75.29.140,192.168.29.130,443,35174,TCP,239559123,A,'',60
124,1728941763917,146.75.37.140,192.168.29.130,443,54832,TCP,95161871,PA,'',4253
125,1728941763917,192.168.29.130,146.75.37.140,54832,443,TCP,3614172660,A,'',54
126,1728941763920,192.168.29.130,146.75.37.140,54832,443,TCP,3614172660,PA,'',118
127,1728941763920,146.75.37.140,192.168.29.130,443,54832,TCP,95166070,A,'',60
128,1728941763920,192.168.29.130,146.75.37.140,54832,443,TCP,3614172724,PA,'',241
129,1728941763920,146.75.37.140,192.168.29.130,443,54832,TCP,95166070,A,'',60
130,1728941763920,192.168.29.130,146.75.37.140,54832,443,TCP,3614172911,PA,'',78
131,1728941763920,192.168.29.130,146.75.37.140,54832,443,TCP,3614172935,FA,'',54
132,1728941763920,146.75.37.140,192.168.29.130,443,54832,TCP,95166070,A,'',60
133,1728941763920,146.75.37.140,192.168.29.130,443,54832,TCP,95166070,A,'',60
134,1728941763929,146.75.29.140,192.168.29.130,443,35112,TCP,596186150,PA,'',119
135,1728941763929,146.75.29.140,192.168.29.130,443,35128,TCP,246828284,PA,'',119
136,1728941763930,192.168.29.130,146.75.29.140,35112,443,TCP,3109776069,PA,'',85
137,1728941763930,192.168.29.130,146.75.29.140,35128,443,TCP,3223031573,PA,'',85
138,1728941763930,146.75.29.140,192.168.29.130,443,35112,TCP,596186215,A,'',60
139,1728941763930,146.75.29.140,192.168.29.130,443,35128,TCP,246828349,A,'',60
140,1728941763932,146.75.37.140,192.168.29.130,443,54824,TCP,396638695,PA,'',2606
141,1728941763932,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
142,1728941763942,146.75.29.140,192.168.29.130,443,35144,TCP,297231813,PA,'',119
143,1728941763942,146.75.37.140,192.168.29.130,443,54824,TCP,396641247,PA,'',3703
144,1728941763942,146.75.37.140,192.168.29.130,443,54824,TCP,396644896,PA,'',4230
145,1728941763942,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
146,1728941763942,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
147,1728941763942,146.75.37.140,192.168.29.130,443,54824,TCP,396649072,PA,'',4230
148,1728941763942,146.75.37.140,192.168.29.130,443,54824,TCP,396653248,PA,'',4741
149,1728941763942,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
150,1728941763942,192.168.29.130,146.75.29.140,35144,443,TCP,2476112967,PA,'',85
151,1728941763943,146.75.29.140,192.168.29.130,443,35144,TCP,297231878,A,'',60
152,1728941763944,146.75.37.140,192.168.29.130,443,54832,TCP,95166070,FPA,'',78
153,1728941763944,192.168.29.130,146.75.37.140,54832,443,TCP,3614172936,R,'',54
154,1728941763946,146.75.29.140,192.168.29.130,443,35158,TCP,1693126826,PA,'',119
155,1728941763946,192.168.29.130,146.75.29.140,35158,443,TCP,1773815613,PA,'',85
156,1728941763947,146.75.29.140,192.168.29.130,443,35158,TCP,1693126891,A,'',60
157,1728941763947,146.75.29.140,192.168.29.130,443,35174,TCP,239559123,PA,'',119
158,1728941763948,192.168.29.130,146.75.29.140,35174,443,TCP,90823831,PA,'',85
159,1728941763948,146.75.29.140,192.168.29.130,443,35174,TCP,239559188,A,'',60
160,1728941763957,146.75.37.140,192.168.29.130,443,54824,TCP,396657935,PA,'',8406
161,1728941763957,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
162,1728941763957,146.75.37.140,192.168.29.130,443,54824,TCP,396666287,PA,'',8406
163,1728941763957,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
164,1728941763960,146.75.37.140,192.168.29.130,443,54824,TCP,396674639,PA,'',4230
165,1728941763960,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
166,1728941763960,146.75.37.140,192.168.29.130,443,54824,TCP,396678815,PA,'',8406
167,1728941763960,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
168,1728941763961,146.75.37.140,192.168.29.130,443,54824,TCP,396687167,PA,'',4230
169,1728941763961,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
170,1728941763962,146.75.37.140,192.168.29.130,443,54824,TCP,396691343,PA,'',5467
171,1728941763962,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
172,1728941763965,146.75.37.140,192.168.29.130,443,54824,TCP,396696756,PA,'',766
173,1728941763968,146.75.37.140,192.168.29.130,443,54824,TCP,396697468,PA,'',684
174,1728941763968,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
175,1728941763969,146.75.37.140,192.168.29.130,443,54824,TCP,396698098,PA,'',115
176,1728941763975,192.168.29.130,192.168.29.2,40607,53,UDP,N/A,N/A,'',80
177,1728941763975,192.168.29.130,192.168.29.2,40607,53,UDP,N/A,N/A,'',80
178,1728941763977,146.75.37.140,192.168.29.130,443,54824,TCP,396698159,PA,'',138
179,1728941763979,146.75.37.140,192.168.29.130,443,54824,TCP,396698243,PA,'',731
180,1728941763980,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
181,1728941763986,146.75.37.140,192.168.29.130,443,54824,TCP,396698920,PA,'',107
182,1728941763990,146.75.37.140,192.168.29.130,443,54824,TCP,396698973,PA,'',122
183,1728941763990,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
184,1728941763993,192.168.29.2,192.168.29.130,53,40607,UDP,N/A,N/A,'',141
185,1728941763993,192.168.29.2,192.168.29.130,53,40607,UDP,N/A,N/A,'',153
186,1728941763994,192.168.29.130,146.75.29.140,35178,443,TCP,1337802121,S,'',74
187,1728941763994,146.75.37.140,192.168.29.130,443,54824,TCP,396699041,PA,'',275
188,1728941763999,146.75.37.140,192.168.29.130,443,54824,TCP,396699262,PA,'',621
189,1728941763999,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
190,1728941764002,146.75.37.140,192.168.29.130,443,54824,TCP,396699829,PA,'',1883
191,1728941764002,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
192,1728941764013,146.75.37.140,192.168.29.130,443,54824,TCP,396701658,PA,'',771
193,1728941764013,146.75.29.140,192.168.29.130,443,35178,TCP,1320882302,SA,'',60
194,1728941764013,192.168.29.130,146.75.29.140,35178,443,TCP,1337802122,A,'',54
195,1728941764014,146.75.37.140,192.168.29.130,443,54824,TCP,396702375,PA,'',360
196,1728941764014,192.168.29.130,146.75.29.140,35178,443,TCP,1337802122,PA,'',722
197,1728941764015,146.75.29.140,192.168.29.130,443,35178,TCP,1320882303,A,'',60
198,1728941764015,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
199,1728941764016,146.75.37.140,192.168.29.130,443,54824,TCP,396702681,PA,'',138
200,1728941764030,146.75.37.140,192.168.29.130,443,54824,TCP,396702765,PA,'',245
201,1728941764030,146.75.37.140,192.168.29.130,443,54824,TCP,396702956,PA,'',492
202,1728941764030,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
203,1728941764031,146.75.37.140,192.168.29.130,443,54824,TCP,396703394,PA,'',140
204,1728941764031,146.75.29.140,192.168.29.130,443,35178,TCP,1320882303,PA,'',2838
205,1728941764031,192.168.29.130,146.75.29.140,35178,443,TCP,1337802790,A,'',54
206,1728941764031,146.75.29.140,192.168.29.130,443,35178,TCP,1320885087,A,'',1514
207,1728941764031,146.75.29.140,192.168.29.130,443,35178,TCP,1320886547,PA,'',60
208,1728941764031,192.168.29.130,146.75.29.140,35178,443,TCP,1337802790,A,'',54
209,1728941764031,192.168.29.130,146.75.29.140,35178,443,TCP,1337802790,A,'',54
210,1728941764032,146.75.37.140,192.168.29.130,443,54824,TCP,396703480,PA,'',157
211,1728941764033,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,A,'',54
212,1728941764034,192.168.29.130,146.75.29.140,35178,443,TCP,1337802790,PA,'',118
213,1728941764034,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
214,1728941764035,192.168.29.130,146.75.29.140,35178,443,TCP,1337802854,PA,'',224
215,1728941764035,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
216,1728941764035,146.75.37.140,192.168.29.130,443,54824,TCP,396703583,PA,'',104
217,1728941764042,192.168.29.130,146.75.29.140,35180,443,TCP,3892874070,S,'',74
218,1728941764043,192.168.29.130,146.75.29.140,35196,443,TCP,4270673559,S,'',74
219,1728941764043,192.168.29.130,146.75.29.140,35178,443,TCP,1337803024,PA,'',347
220,1728941764043,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
221,1728941764043,192.168.29.130,146.75.29.140,35178,443,TCP,1337803317,PA,'',152
222,1728941764044,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
223,1728941764044,192.168.29.130,146.75.29.140,35178,443,TCP,1337803415,PA,'',150
224,1728941764044,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
225,1728941764044,192.168.29.130,146.75.29.140,35178,443,TCP,1337803511,PA,'',89
226,1728941764044,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
227,1728941764047,192.168.29.130,146.75.29.140,35178,443,TCP,1337803546,PA,'',163
228,1728941764048,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
229,1728941764048,192.168.29.130,146.75.29.140,35178,443,TCP,1337803655,PA,'',168
230,1728941764048,192.168.29.130,146.75.29.140,35178,443,TCP,1337803769,PA,'',89
231,1728941764048,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
232,1728941764048,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
233,1728941764048,192.168.29.130,146.75.29.140,35178,443,TCP,1337803804,PA,'',89
234,1728941764048,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
235,1728941764048,192.168.29.130,146.75.29.140,35178,443,TCP,1337803839,PA,'',156
236,1728941764048,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
237,1728941764050,192.168.29.130,146.75.29.140,35178,443,TCP,1337803941,PA,'',166
238,1728941764050,192.168.29.130,146.75.29.140,35178,443,TCP,1337804053,PA,'',89
239,1728941764050,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
240,1728941764050,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
241,1728941764050,192.168.29.130,146.75.29.140,35178,443,TCP,1337804088,PA,'',153
242,1728941764050,192.168.29.130,146.75.29.140,35178,443,TCP,1337804187,PA,'',161
243,1728941764050,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
244,1728941764050,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
245,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804294,PA,'',89
246,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804329,PA,'',154
247,1728941764051,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
248,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804429,PA,'',190
249,1728941764051,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
250,1728941764051,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
251,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804565,PA,'',158
252,1728941764051,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
253,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804669,PA,'',146
254,1728941764051,192.168.29.130,146.75.29.140,35178,443,TCP,1337804761,PA,'',89
255,1728941764051,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
256,1728941764052,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
257,1728941764052,192.168.29.130,146.75.29.140,35178,443,TCP,1337804796,PA,'',163
258,1728941764052,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
259,1728941764052,192.168.29.130,146.75.29.140,35178,443,TCP,1337804905,PA,'',89
260,1728941764052,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
261,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337804940,PA,'',161
262,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
263,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805047,PA,'',89
264,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
265,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805082,PA,'',151
266,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
267,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805179,PA,'',157
268,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
269,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805282,PA,'',159
270,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805387,PA,'',154
271,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
272,1728941764053,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
273,1728941764053,192.168.29.130,146.75.29.140,35178,443,TCP,1337805487,PA,'',158
274,1728941764054,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
275,1728941764054,192.168.29.130,146.75.29.140,35178,443,TCP,1337805591,PA,'',165
276,1728941764054,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
277,1728941764054,192.168.29.130,146.75.29.140,35178,443,TCP,1337805702,PA,'',162
278,1728941764054,192.168.29.130,146.75.29.140,35178,443,TCP,1337805810,PA,'',89
279,1728941764054,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
280,1728941764054,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
281,1728941764055,192.168.29.130,146.75.29.140,35178,443,TCP,1337805845,PA,'',154
282,1728941764055,192.168.29.130,146.75.29.140,35178,443,TCP,1337805945,PA,'',89
283,1728941764055,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
284,1728941764055,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
285,1728941764056,192.168.29.130,146.75.29.140,35178,443,TCP,1337805980,PA,'',89
286,1728941764056,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
287,1728941764057,192.168.29.130,146.75.29.140,35178,443,TCP,1337806015,PA,'',89
288,1728941764057,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
289,1728941764058,192.168.29.130,146.75.29.140,35178,443,TCP,1337806050,PA,'',89
290,1728941764058,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
291,1728941764058,192.168.29.130,146.75.29.140,35178,443,TCP,1337806085,PA,'',89
292,1728941764058,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
293,1728941764059,192.168.29.130,146.75.29.140,35178,443,TCP,1337806120,PA,'',89
294,1728941764059,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
295,1728941764060,146.75.29.140,192.168.29.130,443,35180,TCP,878904280,SA,'',60
296,1728941764060,146.75.29.140,192.168.29.130,443,35196,TCP,1073166420,SA,'',60
297,1728941764060,192.168.29.130,146.75.29.140,35180,443,TCP,3892874071,A,'',54
298,1728941764060,192.168.29.130,146.75.29.140,35196,443,TCP,4270673560,A,'',54
299,1728941764061,192.168.29.130,146.75.29.140,35180,443,TCP,3892874071,PA,'',722
300,1728941764061,192.168.29.130,146.75.29.140,35178,443,TCP,1337806155,PA,'',89
301,1728941764061,146.75.29.140,192.168.29.130,443,35180,TCP,878904281,A,'',60
302,1728941764061,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
303,1728941764062,192.168.29.130,146.75.29.140,35196,443,TCP,4270673560,PA,'',722
304,1728941764062,192.168.29.130,146.75.29.140,35178,443,TCP,1337806190,PA,'',89
305,1728941764062,146.75.29.140,192.168.29.130,443,35196,TCP,1073166421,A,'',60
306,1728941764062,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
307,1728941764063,192.168.29.130,146.75.29.140,35178,443,TCP,1337806225,PA,'',89
308,1728941764063,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
309,1728941764066,192.168.29.130,146.75.29.140,35178,443,TCP,1337806260,PA,'',89
310,1728941764066,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
311,1728941764067,192.168.29.130,146.75.29.140,35178,443,TCP,1337806295,PA,'',89
312,1728941764067,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,A,'',60
313,1728941764068,146.75.29.140,192.168.29.130,443,35178,TCP,1320886551,PA,'',2145
